etre,je suis,tu es,il est,elle est,nous sommes,vous etes,ils sont,elles sont
avoir,j'ai,tu as,il a,elle a,nous avons,vous avez,ils ont,elles sont
faire,je fais,tu fais,il fait,elle fait,nous faisons,vous faites,ils font,elles font
pouvoir,je puex,tu puex,il peut,elle peut,nous pouvons,vous pouvez,ils peuvent,elles peuvent
aller,je vais,tu vas,il va,elle va,nous allons,vous allez,ils vont,elles vont
dire,je dis,tu dis,il dit,elle dit,nous disons,vous dites,ils disent,elles disent
voir,je vois,tu vois,il voit,elle voit,nous voyons,vous voyez,ils voient,elles voient
vouloir,je vuex,tu vuex,il veut,elle veut,nous voulons,vous voulez,ils veulent,elles veulent
-prendre,je prends,tu prends,il prend,elle prend,nous prenons,vous prenez,ils prennent,elles prennent
-mettre,je mets,tu mets,il met,elle met,nous mettons,vous mettez,ils mettent,elles mettent
venir,je viens,tu viens,il vient,elle vient,nous venons,vous venez,ils viennent,elles viennent
tenir,je tiens,tu tiens,il tient,elle tient,nous tenons,vous tenez,ils tiennent,elles tiennent
manger,je mange,tu manges,il mange,elle mange,nous mangeons,vous mangez,ils mangent,elles mangent
lancer,je lance,tu lances,il lance,elle lance,nous lançons,vous lancez,ils lancent,elles lancent
payer,je paie,tu paies,il paie,elle paie,nous payons,vous payez,ils paient,elles paient
acheter,j'achète,tu achètes,il achète,elle achète,nous achetons,vous achetez,ils achètent,elles achètent
appeler,j'appelle,tu appelles,il appelle,elle appelle,nous appelons,vous appelez,ils appellent,elles appellent