parler,to speak,er
danser,to dance,er
diner,to dine,er
trouver,to find,er
donner,to give,er
ecouter,to listen,er
commander,to order,er
payer,to pay,er
jouer,to play,er
chanter,to sing,er
porter,to wear,er
etudier,to study,er
regarder,to watch/look at,er
travailler,to work,er
choisir,to choose,ir
finir,to finish,ir
vendre,to sell,other
etre,to be,other
avoir,to have,other
aller,to go,other
faire,to do/make,other
dire,to say/tell,other
pouvoir,can/to be able to,other
savoir,to know/to know how to do,ir
voir,to see,ir
vouloir,to want to,ir
prendre,to take,other
apprendre,to learn,other
mettre,to put/place,other
venir,to come,ir
obtenir,to obtain,ir
souvenir,to remember,ir
tenir,to hold/keep,ir
devenir,to become,ir
soutenir,to support,ir
contenir,to contain,ir
convenir,to suit/be suitable,ir
advenir,to happen,ir
appartenir,to belong to,ir
bouger,to move,er
changer,to change,er
decourager,to discourage,er
demenager,to move,er
deranger,to disturb,er
diriger,to direct,er
engager,to engage,er
exiger,to demand,er
corriger,to correct,er
juger,to judge,er
nager,to swim,er
obliger,to oblige,er
partager,to share,er
voyager,to travel,er
annoncer,to announce,er
avancer,to advance,er
commencer,to commence,er
effacer,to erase,er
lancer,to throw,er
placer,to put,er
prononcer,to pronounce,er
remplacer,to replace,er
balayer,to sweep,er
s'ennuyer,to be bored,er
nettoyer,to clean,er
acheter,to buy,er
jeter,to jump,er
appeler,to call,er